"query","search interest","increase percent"
"iso adalah",100,"6%"
"iso 27001 adalah",99,"5%"
"iso 27001 pdf",39,"-20%"
"27001 iso 2022",39,"Breakout"
"iso pdf",39,"-20%"
"iso 27001 2022",38,"Breakout"
"iso 27001 audit",26,"-20%"
"audit iso 27001",26,"-20%"
"iso 9001",25,"10%"
"iso 27001 certification",25,"-30%"
"apa itu iso",17,"140%"
"iso 27001 tentang apa",15,"700%"
"27001 iso 2013",14,"-40%"
"iso 27001 2013",14,"-40%"
"iso 27001 training",13,"-30%"
"what is iso 27001",11,"250%"
"iso 27001 isms",11,"-8%"
"isms",11,"7%"
"isms iso 27001",10,"-3%"
"smki",10,"40%"
"iso 14001",9,"7%"
"iso 27001 lead auditor",9,"4%"
"lead auditor iso 27001",9,"-10%"
"iso/iec 27001",9,"40%"
"iso 27001 framework",9,"30%"
"iso 37001",9,"180%"
"iso 27001 compliance",9,"60%"
"iso 9001 adalah",9,"50%"
"iso 45001",9,"60%"
"cobit",8,"-20%"
"iso iec 27001",8,"2%"
"iso 27002",8,"-20%"
"iso 27001 standard",8,"-30%"
"nist",8,"20%"
"iso 27001 checklist",7,"-40%"
"iso 27001 2022 pdf",7,"Breakout"
"27001 iso 2022 pdf",7,"Breakout"
"annex a iso 27001",7,"70%"
"bsi",6,"-6%"
"iso 27701",6,"Breakout"
"iso 27001 logo",6,"150%"
"bsi iso 27001",6,"-20%"
"iso27001",6,"-30%"
"iso 27001 requirements",5,"20%"
"iso 31000",5,"40%"
"iso 20000",5,"1%"
"soa",5,"90%"
"iso 27000",5,"-30%"
"soa iso 27001",5,"60%"
"iso 270001",4,"4%"
