"query","search interest","increase percent"
"sokrates lms",19,"Breakout"
"sokrates",19,"Breakout"
"lms sokrates",18,"Breakout"
"lms kemkes",7,"Breakout"
"lms 24",2,"Breakout"
"lms usd",18,"1,050%"
"lms unj",22,"400%"
"lms unindra",10,"250%"
"lms telkom",16,"130%"
"lms umm",6,"120%"
"lms up",3,"100%"
"translate to indonesia",9,"100%"
"english to indonesia",5,"80%"
"my lms",5,"70%"
"lms spada",8,"50%"
"lms guru",13,"50%"
"apa itu lms",17,"30%"
"lms login",17,"20%"
"lms polinela",7,"20%"
"translate inggris indonesia",29,"10%"
"lms adalah",100,"7%"
"translate indonesia ke inggris",15,"5%"
"indonesia inggris",54,"5%"
"inggris ke indonesia",26,"3%"
"translate indonesia inggris",30,"3%"
"inggris indonesia",53,"2%"
"translate indonesia",53,"-2%"
"translate inggris ke indonesia",16,"-4%"
"lms institut pendidikan indonesia",7,"-5%"
"peta indonesia",5,"-20%"
"lms ut",32,"-30%"
"moodle",4,"-40%"
"lms uin",10,"-50%"
"lms ut ac id",7,"-60%"
"lms uin sgd",3,"-80%"
"lms iain jember",3,"-90%"
