"query","search interest","increase percent"
"kasus lng pertamina",5,"Breakout"
"korupsi lng pertamina",5,"Breakout"
"qatar energy lng",4,"Breakout"
"kasus korupsi lng pertamina",3,"Breakout"
"dampak positif batu bara",2,"Breakout"
"dampak positif bensin",2,"Breakout"
"dampak penggunaan sumber energi tidak terbarukan dari lng",2,"Breakout"
"qatarenergy lng",2,"Breakout"
"karen agustiawan",2,"Breakout"
"gtsi",2,"Breakout"
"batik parang barong adalah batik khas",1,"Breakout"
"suara manusia dihasilkan oleh",1,"Breakout"
"organ penghasil getah empedu adalah",1,"Breakout"
"vitamin k bisa dilarutkan dalam",1,"Breakout"
"s ayu bs pth lng 175",0,"4,600%"
"qatar energy",4,"2,500%"
"korupsi lng",8,"1,600%"
"dampak positif lng",6,"900%"
"kayan lng",9,"600%"
"kayan lng nusantara",5,"550%"
"gaji kapal lng",4,"450%"
"qatar lng",12,"400%"
"terminal lng bali",2,"350%"
"dampak negatif bensin",3,"250%"
"lng dan lpg termasuk sumber daya alam",2,"250%"
"what is lng",11,"200%"
"cng adalah",5,"130%"
"kapal lng adalah",5,"110%"
"lng price",22,"100%"
"lng vs lpg",3,"80%"
"lpg vs lng",3,"80%"
"dampak penggunaan lng",10,"60%"
"apa itu lng",22,"60%"
"cng",18,"50%"
"pt pgn lng indonesia",6,"50%"
"dampak lng",20,"50%"
"lng vessel",9,"40%"
"pgn lng indonesia",9,"40%"
"lng singkatan dari",8,"40%"
"pt pgn lng",8,"30%"
"pgn lng career",2,"30%"
"lng gas",96,"30%"
"lng carrier",9,"30%"
"kapal lng",32,"30%"
"lng pertamina",27,"20%"
"pertamina",27,"20%"
"lng ship",9,"20%"
"gas lng",95,"10%"
"lng adalah",91,"10%"
"lng tanker",8,"10%"
