"query","search interest","increase percent"
"badak lng",100,"-40%"
"lng badak",99,"-40%"
"lng gas",96,"30%"
"gas lng",95,"10%"
"lng adalah",91,"10%"
"lng indonesia",84,"5%"
"lng tangguh",68,"-40%"
"tangguh lng",68,"-40%"
"lpg",59,"-20%"
"lpg lng",54,"-30%"
"kapal lng",32,"30%"
"lng dan lpg",28,"-40%"
"lng pertamina",27,"20%"
"pertamina",27,"20%"
"pgn lng",23,"6%"
"pgn",23,"7%"
"lng price",22,"100%"
"apa itu lng",22,"60%"
"pt badak lng",21,"-40%"
"pt badak",21,"-40%"
"dampak lng",20,"50%"
"cng",18,"50%"
"lng terminal",18,"10%"
"terminal lng",18,"10%"
"gas alam",16,"6%"
"lng plant",15,"-4%"
"lng academy",14,"-40%"
"lpg adalah",13,"4%"
"qatar lng",12,"400%"
"what is lng",11,"200%"
"lng tangguh papua",11,"-40%"
"donggi senoro",11,"-30%"
"donggi senoro lng",11,"-30%"
"badak lng bontang",11,"-40%"
"dampak negatif lng",10,"6%"
"perbedaan lpg dan lng",10,"-40%"
"kepanjangan lng",10,"7%"
"perbedaan lng dan lpg",10,"-50%"
"dampak penggunaan lng",10,"60%"
"lng ship",9,"20%"
"pgn lng indonesia",9,"40%"
"lng carrier",9,"30%"
"lng vessel",9,"40%"
"kayan lng",9,"600%"
"lat lng",8,"4%"
"lng tanker",8,"10%"
"lng singkatan dari",8,"40%"
"pt pgn lng",8,"30%"
"korupsi lng",8,"1,600%"
"arun lng",8,"-20%"
