"query","search interest","increase percent"
"mpls 2025",28,"Breakout"
"teka-teki mpls snack",4,"Breakout"
"coklat berjerawat",4,"Breakout"
"biskuit berdarah",4,"Breakout"
"biskuit berdarah mpls",4,"Breakout"
"coklat kembar",4,"Breakout"
"roti ketawa",4,"Breakout"
"roti ketawa mpls",4,"Breakout"
"biskuit lebih baik",3,"Breakout"
"bintang selanjutnya mpls",3,"Breakout"
"roti bantal",3,"Breakout"
"twibbon mpls 2025",3,"Breakout"
"nasi suci mpls",3,"Breakout"
"coklat lebih baik mpls",3,"Breakout"
"name tag mpls sd",3,"Breakout"
"air kehidupan mpls",3,"Breakout"
"twibbon mpls 2023",3,"Breakout"
"permen maksiat mpls",3,"Breakout"
"biskuit 3 cara",3,"Breakout"
"buah upacara mpls",3,"Breakout"
"buah upacara",3,"Breakout"
"teh band mpls",3,"Breakout"
"topi kerucut mpls",2,"Breakout"
"cacing goreng mpls",2,"Breakout"
"twibbon mpls 2022",2,"Breakout"
"air keruh mpls",2,"Breakout"
"ayam selimut mpls",2,"Breakout"
"telur cicak mpls",2,"Breakout"
"singkong i love you",1,"Breakout"
"materi mpls smp 2024",1,"Breakout"
"surat buat kakak osis mpls perempuan",1,"Breakout"
"minuman ustad mpls",1,"Breakout"
"dodol sapi",5,"2,250%"
"air lumpur mpls",5,"2,150%"
"batu bata italy mpls",4,"2,050%"
"twibbonize",6,"1,850%"
"teka-teki mpls",16,"1,750%"
"air gunung mpls",3,"1,700%"
"teka teki snack mpls",14,"1,600%"
"permen maksiat",3,"1,550%"
"teka teki mpls snack",15,"1,550%"
"batu bata italy",4,"1,400%"
"twibbonize mpls",6,"1,350%"
"coklat kembar mpls",4,"1,150%"
"nasi jelek mpls",2,"1,150%"
"topi mpls",13,"1,050%"
"motto hidup",19,"1,050%"
"motto hidup mpls",18,"1,000%"
"nasi perang mpls",3,"1,000%"
"teka-teki makanan mpls",4,"950%"
