"query","search interest","increase percent"
"mpls adalah",100,"-10%"
"teka teki mpls",94,"500%"
"teka teki",91,"450%"
"mpls smp",84,"-30%"
"mpls sd",76,"200%"
"mpls sma",70,"-40%"
"mpls artinya",61,"250%"
"artinya mpls",60,"250%"
"mpls sekolah",55,"-50%"
"mpls itu apa",54,"50%"
"apa itu mpls",52,"40%"
"materi mpls",51,"-50%"
"kegiatan mpls",49,"-40%"
"mpls smk",48,"-50%"
"makanan mpls",46,"200%"
"arti mpls",46,"-9%"
"kata kata mpls",45,"50%"
"yel yel mpls",45,"-60%"
"yel yel",43,"-60%"
"name tag",43,"300%"
"name tag mpls",42,"300%"
"twibbon",41,"190%"
"twibbon mpls",39,"170%"
"kesan pesan mpls",35,"-60%"
"motto mpls",33,"600%"
"singkatan mpls",30,"-10%"
"mpls 2025",28,"Breakout"
"pesan dan kesan mpls",27,"-50%"
"kesan dan pesan mpls",26,"-50%"
"mpls tk",21,"650%"
"motivasi mpls",21,"300%"
"mpls singkatan dari",21,"-10%"
"singkatan dari mpls",20,"-10%"
"mpls paud",19,"750%"
"motto hidup",19,"1,050%"
"motto hidup mpls",18,"1,000%"
"kepanjangan mpls",18,"-30%"
"makanan teka teki mpls",18,"250%"
"teka teki makanan mpls",18,"250%"
"teka teki mpls makanan",17,"200%"
"tema mpls",17,"-40%"
"apa arti mpls",16,"-30%"
"teka-teki mpls",16,"1,750%"
"teka teki mpls minuman",16,"600%"
"kata kata untuk mpls",15,"40%"
"teka teki mpls snack",15,"1,550%"
"jadwal mpls",15,"-50%"
"id card mpls",14,"90%"
"teka teki snack mpls",14,"1,600%"
"pra mpls",14,"50%"
