"query","search interest","increase percent"
"beasiswa sinarmas agribusiness and food 2022",7,"Breakout"
"sinta",3,"Breakout"
"wilmar",2,"Breakout"
"scimago",1,"Breakout"
"beasiswa sinar mas agribusiness and food 2024",1,"Breakout"
"president university",1,"Breakout"
"jll agribusiness",1,"Breakout"
"indeed",1,"Breakout"
"scopus",3,"150%"
"what is agribusiness",8,"130%"
"indofood",3,"110%"
"pt sinar mas",8,"110%"
"linkedin",4,"110%"
"agribusiness major",3,"90%"
"sinar mas agribusiness and food",27,"80%"
"beasiswa sinarmas agribusiness and food",11,"70%"
"sinar mas",29,"60%"
"journal of agribusiness and rural development",3,"50%"
"pt sinarmas agribusiness and food",24,"30%"
"agribusiness meaning",3,"30%"
"pt sinarmas",25,"30%"
"university of queensland",1,"30%"
"international food and agribusiness management review",1,"30%"
"agribusiness journal",26,"30%"
"sinarmas agribusiness and food",94,"20%"
"beasiswa sinarmas",11,"10%"
"agribusiness management",23,"10%"
"sinarmas",100,"10%"
"smart agribusiness and food",25,"7%"
"smart",28,"5%"
"agriculture",16,"-4%"
"agribisnis",23,"-9%"
"agribusiness management pdf",2,"-20%"
"journal of agribusiness in developing and emerging economies",2,"-20%"
"agrobusiness or agribusiness",1,"-40%"
"agrobusiness",1,"-70%"
