"query","search interest","increase percent"
"sinarmas",100,"10%"
"sinarmas agribusiness and food",94,"20%"
"sinar mas",29,"60%"
"smart",28,"5%"
"sinar mas agribusiness and food",27,"80%"
"agribusiness journal",26,"30%"
"smart agribusiness and food",25,"7%"
"pt sinarmas",25,"30%"
"pt sinarmas agribusiness and food",24,"30%"
"agribisnis",23,"-9%"
"agribusiness management",23,"10%"
"agriculture",16,"-4%"
"beasiswa sinarmas",11,"10%"
"beasiswa sinarmas agribusiness and food",11,"70%"
"what is agribusiness",8,"130%"
"pt sinar mas",8,"110%"
"beasiswa sinarmas agribusiness and food 2022",7,"Breakout"
"linkedin",4,"110%"
"agribusiness major",3,"90%"
"indofood",3,"110%"
"agribusiness meaning",3,"30%"
"journal of agribusiness and rural development",3,"50%"
"sinta",3,"Breakout"
"scopus",3,"150%"
"journal of agribusiness in developing and emerging economies",2,"-20%"
"wilmar",2,"Breakout"
"agribusiness management pdf",2,"-20%"
"scimago",1,"Breakout"
"university of queensland",1,"30%"
"beasiswa sinar mas agribusiness and food 2024",1,"Breakout"
"president university",1,"Breakout"
"agrobusiness",1,"-70%"
"international food and agribusiness management review",1,"30%"
"jll agribusiness",1,"Breakout"
"indeed",1,"Breakout"
"agrobusiness or agribusiness",1,"-40%"
