"query","search interest","increase percent"
"technology news today",7,"Breakout"
"scopus",4,"Breakout"
"blockchain technology",2,"Breakout"
"international journal of agriculture and biology",1,"Breakout"
"smart agriculture",17,"300%"
"smart agriculture technology",17,"250%"
"scholar",5,"200%"
"advanced technology in agriculture",5,"200%"
"the",60,"130%"
"technology for agriculture",60,"130%"
"journal of agriculture and food research",4,"120%"
"agricultural technology",32,"70%"
"precision agriculture",9,"70%"
"technology in agriculture",100,"60%"
"precision agriculture technology",9,"40%"
"journal of agricultural science and technology",4,"20%"
"scimago",4,"7%"
"tokyo university of agriculture and technology",16,"-30%"
"tokyo university",17,"-50%"
"israel agriculture technology",4,"-60%"
