"query","search interest","increase percent"
"technology in agriculture",100,"60%"
"the",60,"130%"
"technology for agriculture",60,"130%"
"agricultural technology",32,"70%"
"tokyo university",17,"-50%"
"smart agriculture technology",17,"250%"
"smart agriculture",17,"300%"
"tokyo university of agriculture and technology",16,"-30%"
"precision agriculture",9,"70%"
"precision agriculture technology",9,"40%"
"technology news today",7,"Breakout"
"advanced technology in agriculture",5,"200%"
"scholar",5,"200%"
"scopus",4,"Breakout"
"scimago",4,"7%"
"israel agriculture technology",4,"-60%"
"journal of agricultural science and technology",4,"20%"
"journal of agriculture and food research",4,"120%"
"blockchain technology",2,"Breakout"
"international journal of agriculture and biology",1,"Breakout"
