"query","search interest","increase percent"
"berkat kejujurannya, mujenih dan egi sandi mendapatkan banyak apresiasi dari sejumlah pihak. mereka berdua juga dihadiahi asuransi jiwa sebesar 500 juta rupiah dan beberapa tabungan lainnya. berdasarkan kisah tersebut, manfaat amanah yang diraih oleh mujenih dan egi sandi adalah ....",1,"Breakout"
"asuransi jiwa ifg",5,"2,750%"
"pt asuransi jiwa ifg",3,"2,150%"
"asuransi jiwa mirna",2,"1,050%"
"apakah asuransi jiwa bisa dicairkan",3,"350%"
"pt asuransi jiwa astra",4,"350%"
"polis endowment dapat dibayar",2,"300%"
"asuransi jiwa seumur hidup juga dikenal sebagai",1,"170%"
"asuransi pendidikan adalah",4,"140%"
"asuransi jiwa astra",11,"130%"
"premi adalah",14,"130%"
"polis asuransi jiwa adalah",30,"130%"
"premi asuransi adalah",14,"130%"
"polis asuransi adalah",28,"120%"
"kontrak asuransi jiwa adalah",9,"120%"
"modified endowment policy adalah",1,"120%"
"polis endowment adalah",8,"110%"
"asuransi dwiguna adalah",6,"110%"
"contoh asuransi pendidikan",2,"100%"
"polis endowment",9,"100%"
"insurable interest adalah",4,"100%"
"pt asuransi simas jiwa",3,"90%"
"rider adalah",5,"90%"
"asuransi kesehatan adalah",8,"90%"
"asuransi jiwa berjangka adalah",9,"90%"
"asuransi dwiguna",9,"80%"
"asuransi jiwa adalah",100,"80%"
"insurable interest",4,"80%"
"perbedaan asuransi jiwa dan kesehatan",4,"70%"
"asuransi adalah",95,"70%"
"manfaat asuransi jiwa",28,"70%"
"astra life",4,"60%"
"bri life",5,"60%"
"asuransi kerugian adalah",6,"60%"
"asuransi kematian",9,"60%"
"jenis asuransi jiwa",27,"50%"
"produk asuransi jiwa",28,"50%"
"jenis jenis asuransi",27,"50%"
"asuransi jiwa taspen",6,"50%"
"pt asuransi jiwa syariah al amin",3,"50%"
"contoh asuransi kesehatan",4,"40%"
"jenis asuransi",26,"40%"
"apa itu asuransi jiwa",15,"40%"
"apa itu asuransi",15,"40%"
"asuransi simas jiwa",10,"40%"
"premi asuransi jiwa",42,"40%"
"simas jiwa",10,"40%"
"pt asuransi jiwa inhealth indonesia",3,"40%"
"polis asuransi jiwa",49,"30%"
"biaya asuransi jiwa",17,"30%"
