"query","search interest","increase percent"
"asuransi jiwa adalah",100,"80%"
"asuransi adalah",95,"70%"
"asuransi jiwa indonesia",59,"-5%"
"polis asuransi jiwa",49,"30%"
"premi asuransi jiwa",42,"40%"
"asuransi syariah",40,"30%"
"asuransi jiwa syariah",40,"20%"
"asuransi kesehatan",35,"30%"
"polis asuransi jiwa adalah",30,"130%"
"produk asuransi jiwa",28,"50%"
"polis asuransi adalah",28,"120%"
"klaim asuransi jiwa",28,"30%"
"manfaat asuransi jiwa",28,"70%"
"jenis asuransi jiwa",27,"50%"
"jenis jenis asuransi",27,"50%"
"jenis asuransi",26,"40%"
"contoh asuransi jiwa",22,"-4%"
"asuransi jiwa kredit",21,"10%"
"asuransi bca",18,"9%"
"asuransi jiwa bca",18,"10%"
"asuransi jiwa prudential",17,"-30%"
"prudential",17,"-30%"
"prudential asuransi jiwa",17,"-30%"
"asuransi prudential",17,"-30%"
"biaya asuransi jiwa",17,"30%"
"asuransi jiwa terbaik",17,"-30%"
"asuransi jiwa allianz",15,"-10%"
"asuransi allianz",15,"-10%"
"allianz",15,"-10%"
"apa itu asuransi jiwa",15,"40%"
"apa itu asuransi",15,"40%"
"premi adalah",14,"130%"
"premi asuransi adalah",14,"130%"
"asuransi jiwa berjangka",13,"30%"
"asuransi jiwa sinarmas",12,"-30%"
"pengertian asuransi",12,"-30%"
"pengertian asuransi jiwa",12,"-30%"
"asuransi jiwa astra",11,"130%"
"manulife",11,"-40%"
"asuransi jiwa manulife",11,"-40%"
"simas jiwa",10,"40%"
"asuransi simas jiwa",10,"40%"
"asuransi kematian",9,"60%"
"asuransi jiwa berjangka adalah",9,"90%"
"polis endowment",9,"100%"
"ojk",9,"-3%"
"asuransi pendidikan",9,"10%"
"kontrak asuransi jiwa adalah",9,"120%"
"asuransi dwiguna",9,"80%"
"polis endowment adalah",8,"110%"
