"query","search interest","increase percent"
"apa itu asuransi kesehatan",12,"100%"
"asuransi jiwa adalah",20,"90%"
"polis asuransi adalah",15,"90%"
"apa itu asuransi",12,"70%"
"asuransi umum",23,"60%"
"harga asuransi kesehatan",20,"50%"
"premi adalah",18,"50%"
"asuransi pendidikan",17,"40%"
"manfaat asuransi kesehatan",26,"30%"
"asuransi kecelakaan",21,"30%"
"asuransi jiwa",36,"30%"
"jenis jenis asuransi",34,"20%"
"bank",38,"20%"
"jenis asuransi",34,"20%"
"jenis asuransi kesehatan",34,"20%"
"premi asuransi kesehatan",31,"10%"
"perusahaan asuransi adalah",100,"10%"
"asuransi adalah",100,"10%"
"asuransi kesehatan adalah",99,"10%"
"perusahaan asuransi syariah",19,"-1%"
"asuransi syariah",19,"-3%"
"perusahaan asuransi di indonesia",49,"-4%"
"pegadaian adalah",7,"-10%"
"contoh asuransi kesehatan",36,"-20%"
"contoh perusahaan asuransi",37,"-20%"
"ojk",17,"-20%"
"bpjs kesehatan",35,"-40%"
"bpjs kesehatan perusahaan",35,"-40%"
"asuransi kesehatan terbaik",12,"-40%"
"bpjs",34,"-40%"
"perusahaan asuransi terbaik",12,"-40%"
