"query","search interest","increase percent"
"perusahaan asuransi adalah",100,"10%"
"asuransi adalah",100,"10%"
"asuransi kesehatan adalah",99,"10%"
"perusahaan asuransi di indonesia",49,"-4%"
"bank",38,"20%"
"contoh perusahaan asuransi",37,"-20%"
"contoh asuransi kesehatan",36,"-20%"
"asuransi jiwa",36,"30%"
"bpjs kesehatan",35,"-40%"
"bpjs kesehatan perusahaan",35,"-40%"
"bpjs",34,"-40%"
"jenis asuransi",34,"20%"
"jenis jenis asuransi",34,"20%"
"jenis asuransi kesehatan",34,"20%"
"premi asuransi kesehatan",31,"10%"
"manfaat asuransi kesehatan",26,"30%"
"asuransi umum",23,"60%"
"asuransi kecelakaan",21,"30%"
"asuransi jiwa adalah",20,"90%"
"harga asuransi kesehatan",20,"50%"
"asuransi syariah",19,"-3%"
"perusahaan asuransi syariah",19,"-1%"
"premi adalah",18,"50%"
"asuransi pendidikan",17,"40%"
"ojk",17,"-20%"
"polis asuransi adalah",15,"90%"
"apa itu asuransi kesehatan",12,"100%"
"perusahaan asuransi terbaik",12,"-40%"
"apa itu asuransi",12,"70%"
"asuransi kesehatan terbaik",12,"-40%"
"pegadaian adalah",7,"-10%"
