"query","search interest","increase percent"
"perusahaan asuransi adalah",100,"60%"
"asuransi adalah",97,"60%"
"dalam",86,"40%"
"pada",68,"50%"
"berikut",39,"70%"
"perusahaan asuransi di indonesia",37,"20%"
"perusahaan asuransi syariah",35,"110%"
"asuransi syariah",35,"110%"
"contoh asuransi",35,"6%"
"contoh perusahaan asuransi",34,"8%"
"salah",31,"120%"
"jenis jenis asuransi",23,"30%"
"jenis asuransi",21,"30%"
"asuransi jiwa",16,"20%"
"manfaat asuransi",16,"40%"
"fungsi perusahaan asuransi",16,"6%"
"pengertian asuransi",15,"-20%"
"pengertian perusahaan asuransi",15,"-20%"
"asuransi kesehatan",14,"50%"
"polis asuransi",14,"110%"
"ojk",13,"10%"
"premi asuransi adalah",13,"100%"
"premi adalah",12,"100%"
"perusahaan dana pensiun",11,"30%"
"dana pensiun",11,"30%"
"pasar modal",11,"20%"
"pegadaian",10,"10%"
"polis adalah",9,"160%"
"polis asuransi adalah",9,"150%"
"apa itu asuransi",8,"40%"
"perusahaan asuransi konvensional",7,"90%"
"asuransi jiwa adalah",7,"60%"
"pasar modal adalah",7,"30%"
"lembaga keuangan bukan bank",7,"1%"
"hanafi adalah seorang karyawan perusahaan yang setiap bulan membayar sejumlah uang kepada perusahaan",6,"Breakout"
"dana pensiun adalah",6,"20%"
"pegadaian adalah",6,"20%"
"contoh perusahaan asuransi syariah",5,"110%"
"jiwasraya",5,"8%"
"perhatikan",4,"6%"
"fungsi pasar modal",4,"40%"
"hanafi adalah seorang karyawan perusahaan yang setiap bulan membayar sejumlah uang kepada perusahaan asuransi, sebagai pertanggungan risiko jika sewaktu-waktu terjadi hal yang tidak terduga pada dirinya. yang dilakukan hanafi dalam praktik asuransi syariah disebut dengan",3,"Breakout"
"perusahaan asuransi terbaik",3,"-40%"
"lembaga keuangan non bank",3,"40%"
"salah satu larangan yang tidak boleh dilakukan dalam praktik asuransi syariah adalah",3,"Breakout"
"fungsi bank umum",3,"30%"
"leasing adalah",3,"30%"
"berikut ini yang bukan merupakan unsur-unsur dalam praktik asuransi adalah",3,"Breakout"
"prudential",3,"-30%"
"allianz",3,"1%"
