"query","search interest","increase percent"
"seabank",4,"Breakout"
"bank terbaik di indonesia 2023",4,"Breakout"
"bank terbaik di indonesia 2022",4,"Breakout"
"power bank terbaik 2022",3,"Breakout"
"blu bca",3,"Breakout"
"allo bank",2,"Breakout"
"power bank terbaik 2023",2,"Breakout"
"bank digital terbaik 2023",1,"Breakout"
"krom bank",1,"Breakout"
"merk power bank terbaik 2022",1,"Breakout"
"slot bocahgacor",1,"Breakout"
"bank jago",8,"2,650%"
"neo bank",3,"1,750%"
"bank bsi",6,"1,450%"
"bank digital",34,"1,450%"
"bank digital terbaik",33,"1,400%"
"bank digital terbaik di indonesia",6,"1,400%"
"bank digital di indonesia",6,"1,350%"
"bsi",6,"1,250%"
"sea bank",1,"1,250%"
"line bank",1,"600%"
"pinjol terbaik",2,"450%"
"power bank terbaik 2021",3,"200%"
"aplikasi saham terbaik",1,"170%"
"bank dbs",5,"170%"
"dbs",5,"170%"
"dbs bank",5,"170%"
"ocbc",4,"130%"
"bank swasta terbaik di indonesia",5,"120%"
"merk power bank terbaik 2021",0,"120%"
"jenius",3,"100%"
"rekomendasi power bank terbaik",4,"90%"
"bank bca",29,"80%"
"bank online terbaik",15,"70%"
"bank swasta terbaik",8,"70%"
"power bank 20000mah",7,"70%"
"bca",27,"70%"
"power bank terbaik 20000mah",7,"70%"
"bank terbaik di dunia",14,"70%"
"bank indonesia",87,"60%"
"bank terbaik di indonesia",69,"50%"
"kartu kredit terbaik",7,"50%"
"bank di indonesia",68,"50%"
"bank terbaik indonesia",88,"50%"
"bank bumn terbaik",5,"40%"
"bank terbesar di indonesia",5,"30%"
"pinjaman online terbaik",3,"30%"
"investasi terbaik",7,"30%"
"merk power bank terbaik dan tahan lama",1,"20%"
"bank syariah indonesia",8,"10%"
