"query","search interest","increase percent"
"power bank",100,"-40%"
"power bank terbaik",97,"-40%"
"bank terbaik indonesia",88,"50%"
"bank indonesia",87,"60%"
"bank terbaik di indonesia",69,"50%"
"bank di indonesia",68,"50%"
"bank digital",34,"1,450%"
"bank digital terbaik",33,"1,400%"
"bank bca",29,"80%"
"bca",27,"70%"
"mandiri",20,"-20%"
"bank mandiri",20,"-10%"
"merk power bank terbaik",18,"-30%"
"bank syariah terbaik",17,"-40%"
"bri",16,"-10%"
"bank bri",16,"-10%"
"bank online terbaik",15,"70%"
"bank terbaik di dunia",14,"70%"
"bni",12,"-10%"
"bank bni",12,"-20%"
"deposito terbaik",11,"4%"
"powerbank",9,"-30%"
"powerbank terbaik",9,"-30%"
"bank syariah indonesia",8,"10%"
"bank jago",8,"2,650%"
"bank swasta terbaik",8,"70%"
"investasi terbaik",7,"30%"
"kartu kredit terbaik",7,"50%"
"power bank terbaik 20000mah",7,"70%"
"power bank 20000mah",7,"70%"
"bank syariah terbaik di indonesia",6,"10%"
"harga power bank terbaik",6,"-60%"
"harga power bank",6,"-60%"
"bank terbaik untuk menabung",6,"5%"
"bank bsi",6,"1,450%"
"bsi",6,"1,250%"
"bank digital di indonesia",6,"1,350%"
"bank digital terbaik di indonesia",6,"1,400%"
"film perampokan bank terbaik",5,"1%"
"film perampokan terbaik",5,"1%"
"dbs bank",5,"170%"
"film perampokan bank",5,"-1%"
"bank swasta terbaik di indonesia",5,"120%"
"bank dbs",5,"170%"
"dbs",5,"170%"
"bank bumn terbaik",5,"40%"
"bank terbesar di indonesia",5,"30%"
"urutan bank terbaik di indonesia",4,"10%"
"rekomendasi power bank terbaik",4,"90%"
"cimb niaga",4,"-5%"
