"query","search interest","increase percent"
"qlola cash management",19,"Breakout"
"qlola",19,"Breakout"
"kopra cash management",4,"Breakout"
"kopra",4,"Breakout"
"kopra mandiri",3,"Breakout"
"mandiri kopra",3,"Breakout"
"qlola bri",2,"Breakout"
"qlola cash management bri",2,"Breakout"
"ibbiz",1,"Breakout"
"dialur",0,"Breakout"
"dialur bgn",0,"Breakout"
"mandiri cash management 2",9,"2,850%"
"btn cash management login",3,"800%"
"cash management btn login",3,"750%"
"mandiri cash management 2.0",13,"700%"
"btn",47,"650%"
"btn cash management",46,"600%"
"cash management btn",45,"600%"
"bjb cash management",18,"500%"
"mcm2 mandiri",1,"500%"
"bjb",17,"500%"
"mcm2",2,"500%"
"mandiri cash management 2.0 login",3,"500%"
"cash management bjb",17,"450%"
"btn cash management system",3,"450%"
"cms btn",0,"250%"
"yahoo login",0,"250%"
"mandiri cash management login",12,"170%"
"nagari cash management",6,"140%"
"klikbca",3,"60%"
"cash management system",14,"60%"
"vpn klikbca",1,"60%"
"klikbca bisnis",1,"50%"
"klik bca",1,"50%"
"bca klik",1,"50%"
"bca cash management",5,"30%"
"ncm cash management",0,"20%"
"cash management system bri",6,"20%"
"bri cash management system",6,"20%"
"bca bisnis",2,"20%"
"cms",2,"6%"
"cash flow management",2,"-6%"
"cash management adalah",4,"-10%"
"bri",21,"-20%"
"bri cash management",20,"-20%"
"bni",6,"-20%"
"mandiri bisnis",4,"-20%"
"bni direct",4,"-30%"
"bni cash management",6,"-30%"
"mandiri internet bisnis",2,"-30%"
