"query","search interest","increase percent"
"mandiri",100,"-40%"
"cash management mandiri",100,"-40%"
"mandiri cash management",99,"-40%"
"btn",47,"650%"
"btn cash management",46,"600%"
"cash management btn",45,"600%"
"bri",21,"-20%"
"bri cash management",20,"-20%"
"qlola cash management",19,"Breakout"
"qlola",19,"Breakout"
"bjb cash management",18,"500%"
"bjb",17,"500%"
"cash management bjb",17,"450%"
"cash management system",14,"60%"
"mandiri cash management 2.0",13,"700%"
"mandiri cash management login",12,"170%"
"mandiri cash management 2",9,"2,850%"
"bni",6,"-20%"
"cash management system bri",6,"20%"
"bri cash management system",6,"20%"
"bni cash management",6,"-30%"
"nagari cash management",6,"140%"
"bca cash management",5,"30%"
"kopra cash management",4,"Breakout"
"kopra",4,"Breakout"
"mandiri bisnis",4,"-20%"
"cash management adalah",4,"-10%"
"bni direct",4,"-30%"
"btn cash management login",3,"800%"
"cash management btn login",3,"750%"
"btn cash management system",3,"450%"
"mandiri cash management 2.0 login",3,"500%"
"klikbca",3,"60%"
"kopra mandiri",3,"Breakout"
"mandiri kopra",3,"Breakout"
"cash flow management",2,"-6%"
"mandiri internet bisnis",2,"-30%"
"qlola bri",2,"Breakout"
"qlola cash management bri",2,"Breakout"
"mcm",2,"-60%"
"cms",2,"6%"
"mcm mandiri cash management",2,"-60%"
"mcm mandiri",2,"-60%"
"mcm2",2,"500%"
"bank mandiri cash management",2,"-60%"
"bank mandiri",2,"-60%"
"bca bisnis",2,"20%"
"mcm2 mandiri",1,"500%"
"bca klik",1,"50%"
"klik bca",1,"50%"
