"query","search interest","increase percent"
"cloud computing news",36,"Breakout"
"cloud computing services",29,"200%"
"fungsi cloud computing",24,"170%"
"what is cloud computing",23,"150%"
"blockchain",8,"130%"
"artificial intelligence indonesia",10,"60%"
"contoh cloud computing",70,"60%"
"apa itu cloud computing",30,"50%"
"pengertian cloud computing",25,"50%"
"artificial intelligence",11,"30%"
"layanan cloud computing",51,"30%"
"cloud computing adalah",100,"20%"
"big data",20,"20%"
"google cloud",40,"2%"
