"query","search interest","increase percent"
"the cloud provider is not running",12,"Breakout"
"cloud file provider is not running",10,"Breakout"
"the cloud file provider is not running",8,"Breakout"
"cheapest cloud provider",6,"Breakout"
"cloud gaming",6,"Breakout"
"huawei cloud",3,"Breakout"
"csp cloud service provider",3,"Breakout"
"vultr",2,"Breakout"
"linode",2,"Breakout"
"oracle cloud managed service provider",1,"Breakout"
"google cloud platform",7,"200%"
"best cloud provider",38,"120%"
"gcp",11,"100%"
"google cloud",56,"100%"
"cloud computing adalah",25,"90%"
"cloud services provider",36,"90%"
"internet service provider",14,"90%"
"csp",5,"80%"
"aws",34,"80%"
"managed cloud service provider",8,"70%"
"alibaba cloud",9,"70%"
"google cloud provider",57,"60%"
"cloud storage",28,"50%"
"azure",16,"40%"
"best cloud service provider",9,"30%"
"provider adalah",58,"30%"
"cloud computing",59,"10%"
"cloud computing provider",61,"10%"
"cloud server provider",44,"10%"
"managed cloud provider",12,"-8%"
"cloud service",98,"-20%"
"cloud service provider",100,"-20%"
"cloud hosting provider",24,"-20%"
"microsoft azure",4,"-30%"
"digitalocean",4,"-40%"
"cloud solution provider",15,"-50%"
