"query","search interest","increase percent"
"cloud service provider",100,"-20%"
"cloud service",98,"-20%"
"cloud computing provider",61,"10%"
"cloud computing",59,"10%"
"provider adalah",58,"30%"
"google cloud provider",57,"60%"
"google cloud",56,"100%"
"cloud server provider",44,"10%"
"best cloud provider",38,"120%"
"cloud services provider",36,"90%"
"aws",34,"80%"
"cloud storage",28,"50%"
"cloud computing adalah",25,"90%"
"cloud hosting provider",24,"-20%"
"azure",16,"40%"
"cloud solution provider",15,"-50%"
"internet service provider",14,"90%"
"managed cloud provider",12,"-8%"
"the cloud provider is not running",12,"Breakout"
"gcp",11,"100%"
"cloud file provider is not running",10,"Breakout"
"best cloud service provider",9,"30%"
"alibaba cloud",9,"70%"
"managed cloud service provider",8,"70%"
"the cloud file provider is not running",8,"Breakout"
"google cloud platform",7,"200%"
"cheapest cloud provider",6,"Breakout"
"cloud gaming",6,"Breakout"
"csp",5,"80%"
"microsoft azure",4,"-30%"
"digitalocean",4,"-40%"
"huawei cloud",3,"Breakout"
"csp cloud service provider",3,"Breakout"
"vultr",2,"Breakout"
"linode",2,"Breakout"
"oracle cloud managed service provider",1,"Breakout"
