"query","search interest","increase percent"
"coal mining palworld",3,"Breakout"
"coal mining simulator",2,"Breakout"
"bmc",10,"130%"
"bandang mining coal",66,"120%"
"pt bandang mining coal",38,"110%"
"nickel",10,"90%"
"coal adalah",100,"70%"
"mining adalah",99,"70%"
"coal mining adalah",99,"70%"
"coal mining industry",32,"60%"
"coal price",23,"40%"
"underground coal mining",13,"30%"
"coal meaning",13,"30%"
"pt ktc coal mining & energy",34,"30%"
"ktc coal mining",84,"20%"
"ktc",84,"20%"
"batu bara",33,"20%"
"coal mining company",56,"20%"
"mining news",11,"20%"
"pt ktc",40,"10%"
"open pit coal mining",6,"10%"
"coal mining process",13,"4%"
"coal mine",36,"-3%"
"linkedin",6,"-9%"
"mantimin coal mining",33,"-10%"
"bayan resources",4,"-10%"
"bumi resources",4,"-10%"
"adaro",22,"-20%"
"adaro mining",22,"-20%"
"pt mantimin coal mining",15,"-30%"
"pt berau coal",13,"-40%"
"berau coal",34,"-40%"
"trubaindo coal mining",53,"-50%"
