"query","search interest","increase percent"
"coal adalah",100,"70%"
"mining adalah",99,"70%"
"coal mining adalah",99,"70%"
"ktc coal mining",84,"20%"
"ktc",84,"20%"
"bandang mining coal",66,"120%"
"coal mining company",56,"20%"
"trubaindo coal mining",53,"-50%"
"pt ktc",40,"10%"
"pt bandang mining coal",38,"110%"
"coal mine",36,"-3%"
"berau coal",34,"-40%"
"pt ktc coal mining & energy",34,"30%"
"batu bara",33,"20%"
"mantimin coal mining",33,"-10%"
"coal mining industry",32,"60%"
"coal price",23,"40%"
"adaro mining",22,"-20%"
"adaro",22,"-20%"
"pt mantimin coal mining",15,"-30%"
"coal mining process",13,"4%"
"coal meaning",13,"30%"
"underground coal mining",13,"30%"
"pt berau coal",13,"-40%"
"mining news",11,"20%"
"bmc",10,"130%"
"nickel",10,"90%"
"open pit coal mining",6,"10%"
"linkedin",6,"-9%"
"bayan resources",4,"-10%"
"bumi resources",4,"-10%"
"coal mining palworld",3,"Breakout"
"coal mining simulator",2,"Breakout"
