"query","search interest","increase percent"
"which google cloud interconnect service requires a connection in a google cloud colocation facility and provides 10 gbps per link?",3,"Breakout"
"collocation english",2,"Breakout"
"server colocation uk",1,"Breakout"
"1u colocation pricing",1,"Breakout"
"which of the following approaches to multi-project networking, uses a centralized network administration model?",1,"Breakout"
"cheap uk colocation",1,"Breakout"
"data center indonesia",11,"250%"
"colocation data centers",4,"150%"
"colocation dictionary",2,"110%"
"what is colocation",13,"80%"
"colocation singapore",6,"70%"
"colocation meaning",8,"50%"
"data center",55,"50%"
"colocation data center",55,"50%"
"data center colocation",55,"50%"
"colocation service",13,"50%"
"colocation center",57,"40%"
"colocation adalah",71,"40%"
"singapore colocation",5,"30%"
"co location",3,"30%"
"data center colocation services",3,"30%"
"rack colocation",13,"10%"
"colocation services",11,"10%"
"colocation rack",13,"10%"
"colocation 1u",6,"3%"
"datacenter colocation",6,"1%"
"uk colocation",5,"-1%"
"data center jakarta",2,"-5%"
"vps",12,"-5%"
"colocation paris",5,"-5%"
"server colocation",99,"-10%"
"colocation server",100,"-10%"
"colocation datacenter",6,"-10%"
"colocation hosting server",14,"-20%"
"colocation hosting",23,"-20%"
"colocation server hosting",13,"-20%"
"collocation",20,"-20%"
"colocation apl",1,"-20%"
"dedicated server",13,"-30%"
"data centre colocation",3,"-30%"
"colocation service providers",0,"-100%"
