"query","search interest","increase percent"
"compliance monitoring",34,"Breakout"
"hr legal compliance training",7,"Breakout"
"hr compliance training for employees",4,"Breakout"
"what is compliance training",100,"700%"
"it compliance training",74,"300%"
"financial compliance training",36,"160%"
"corporate compliance training",37,"140%"
"compliance officer training",25,"20%"
"hipaa compliance training",11,"9%"
"compliance training online",57,"-30%"
"compliance training courses",28,"-30%"
"online compliance training",58,"-40%"
