"query","search interest","increase percent"
"what is compliance training",100,"700%"
"it compliance training",74,"300%"
"online compliance training",58,"-40%"
"compliance training online",57,"-30%"
"corporate compliance training",37,"140%"
"financial compliance training",36,"160%"
"compliance monitoring",34,"Breakout"
"compliance training courses",28,"-30%"
"compliance officer training",25,"20%"
"hipaa compliance training",11,"9%"
"hr legal compliance training",7,"Breakout"
"hr compliance training for employees",4,"Breakout"
