"query","search interest","increase percent"
"scopus",9,"Breakout"
"sinta",7,"Breakout"
"sciencedirect",4,"Breakout"
"perplexity",3,"Breakout"
"scimago",3,"Breakout"
"google docs",2,"Breakout"
"researchgate",2,"Breakout"
"science direct",1,"Breakout"
"mendeley",1,"Breakout"
"perplexity ai",1,"Breakout"
"google scholar",20,"170%"
"scholar google",21,"120%"
"consumer trust",67,"80%"
"brand trust",64,"70%"
"brand awareness",44,"20%"
"scholar",23,"8%"
"brand loyalty",66,"4%"
"brand image",100,"0%"
"consumer behavior",71,"-5%"
"brand image adalah",15,"-30%"
"brand equity",37,"-30%"
"linkedin",4,"-40%"
"self service",7,"-40%"
"consumer based brand equity",6,"-50%"
"emerald",3,"-70%"
