"query","search interest","increase percent"
"brand image",100,"0%"
"consumer behavior",71,"-5%"
"consumer trust",67,"80%"
"brand loyalty",66,"4%"
"brand trust",64,"70%"
"brand awareness",44,"20%"
"brand equity",37,"-30%"
"scholar",23,"8%"
"scholar google",21,"120%"
"google scholar",20,"170%"
"brand image adalah",15,"-30%"
"scopus",9,"Breakout"
"sinta",7,"Breakout"
"self service",7,"-40%"
"consumer based brand equity",6,"-50%"
"linkedin",4,"-40%"
"sciencedirect",4,"Breakout"
"emerald",3,"-70%"
"perplexity",3,"Breakout"
"scimago",3,"Breakout"
"google docs",2,"Breakout"
"researchgate",2,"Breakout"
"science direct",1,"Breakout"
"mendeley",1,"Breakout"
"perplexity ai",1,"Breakout"
