"query","search interest","increase percent"
"corporate value adalah",17,"Breakout"
"cabang bca finance di indonesia",14,"Breakout"
"mengapa corporate value menjadi hal penting untuk sebuah perusahaan",10,"Breakout"
"human capital",8,"Breakout"
"berapa banyak cabang bca finance di indonesia",8,"Breakout"
"scopus",4,"Breakout"
"supply chain management",4,"Breakout"
"coursera",3,"Breakout"
"relationship officer",3,"Breakout"
"cfa institute",2,"Breakout"
"sps corporate",2,"Breakout"
"corporate training programs",1,"Breakout"
"corporate finance for dummies pdf",1,"Breakout"
"principles of corporate finance 14th edition",1,"Breakout"
"bca finance",25,"750%"
"corporate finance specialist",9,"450%"
"cfi",6,"400%"
"corporate affair",5,"300%"
"corporate value",36,"250%"
"what is corporate finance",31,"180%"
"corporate social responsibility",9,"170%"
"corporate strategy and finance",9,"160%"
"journal of corporate finance",34,"160%"
"corporate finance institute",50,"160%"
"finance artinya",10,"150%"
"yahoo finance",8,"140%"
"principles of corporate finance pdf",3,"130%"
"bfi finance",11,"120%"
"corporate finance analyst",14,"120%"
"scimago",2,"110%"
"fmva",3,"110%"
"principles of corporate finance",15,"110%"
"corporate finance certification",5,"100%"
"linkedin",14,"90%"
"marketing",18,"80%"
"corporate finance course",11,"80%"
"apa itu finance",20,"80%"
"corporate finance manager",19,"70%"
"corporate finance management",49,"60%"
"finance adalah",100,"60%"
"corporate adalah",100,"60%"
"corporate finance adalah",100,"60%"
"corporate finance services",12,"60%"
"introduction to corporate finance",5,"40%"
"corporate governance",26,"40%"
"behavioral corporate finance",7,"30%"
"corporate finance jobs",10,"20%"
"principle of corporate finance",2,"20%"
"pwc corporate finance",5,"20%"
"tugas finance",16,"20%"
