"query","search interest","increase percent"
"corporate internet banking",100,"20%"
"internet banking",98,"20%"
"corporate banking",94,"10%"
"jatim corporate",19,"3%"
"bjb corporate",18,"60%"
"bjb",18,"60%"
"bjb internet banking corporate",17,"60%"
"bjb internet banking",17,"60%"
"internet banking corporate bjb",17,"60%"
"internet banking bjb",17,"60%"
"bank jatim",17,"-5%"
"bank jatim corporate",17,"-3%"
"corporate bank jatim",17,"-3%"
"internet banking jatim",16,"9%"
"internet banking bank jatim",14,"1%"
"bank jatim internet banking",14,"2%"
"internet banking bank jatim corporate",14,"1%"
"cimb niaga internet banking",9,"20%"
"ocbc internet banking",8,"350%"
"ocbc",8,"300%"
"internet banking sumsel babel",5,"Breakout"
"corporate adalah",4,"10%"
"bank sumsel babel",4,"Breakout"
"mandiri internet banking corporate",4,"-50%"
"mandiri internet banking",4,"-50%"
"internet banking bank sumsel",4,"Breakout"
"internet banking bank sumsel babel",4,"1,850%"
"internet banking bni",4,"-70%"
"bni internet banking corporate",4,"-80%"
"internet banking bri",3,"10%"
"bca internet banking",3,"-9%"
"internet banking bca",3,"-8%"
"internet speed test",0,"Breakout"
"internet of things examples",0,"Breakout"
