"query","search interest","increase percent"
"clearance adalah",100,"80%"
"customs clearance adalah",100,"70%"
"import customs clearance",82,"20%"
"custom clearance",37,"-20%"
"customs clearance process",35,"100%"
"what is customs clearance",25,"200%"
"dhl",20,"40%"
"customs clearance services",12,"6%"
"customs clearance status updated. note the customs clearance process may start while the shipment is in transit to the destination.",5,"Breakout"
"formal customs clearance required",5,"Breakout"
"bill of lading",5,"Breakout"
"import customs clearance started",0,"-100%"
