"query","search interest","increase percent"
"bdx data center indonesia",6,"Breakout"
"bdx data center",6,"Breakout"
"bdx",6,"Breakout"
"bdx indonesia",6,"Breakout"
"ai news today",4,"Breakout"
"hyperscale data center",3,"Breakout"
"princeton digital group",1,"Breakout"
"green box data center",1,"Breakout"
"apjii",1,"Breakout"
"data center news",27,"4,050%"
"edge data center",5,"250%"
"toto sugiri",6,"250%"
"dcii",5,"160%"
"saham data center",12,"150%"
"edge",5,"150%"
"linkedin",4,"110%"
"microsoft data center indonesia",14,"90%"
"microsoft data center",14,"90%"
"bisnis data center",5,"50%"
"pt dci",4,"30%"
"apa itu data center",8,"20%"
"perusahaan data center di indonesia",14,"10%"
"pt dci indonesia",4,"10%"
"pew research center",1,"7%"
"perusahaan data center",20,"2%"
"data center di indonesia",100,"1%"
"telkom indonesia",6,"-5%"
"telkom data center",6,"-7%"
"international trade center",1,"-7%"
"data center tier 4",5,"-7%"
"satu data indonesia",5,"-9%"
"aws indonesia",8,"-20%"
"dci data center",14,"-20%"
"dci",14,"-20%"
"aws",8,"-20%"
"dci indonesia",14,"-20%"
"data center jakarta",16,"-20%"
"data center adalah",23,"-30%"
"equinix data center",3,"-30%"
"equinix",3,"-30%"
"equinix indonesia",3,"-30%"
"data center tier",10,"-30%"
"ntt data",6,"-30%"
"fintech data center",2,"-30%"
"ntt data center",6,"-30%"
"ntt",5,"-40%"
"google data center",20,"-40%"
"google data center indonesia",20,"-40%"
"ntt data indonesia",5,"-40%"
"cibitung",3,"-40%"
