"query","search interest","increase percent"
"data center di indonesia",100,"1%"
"data center news",27,"4,050%"
"data center adalah",23,"-30%"
"google data center indonesia",20,"-40%"
"google data center",20,"-40%"
"perusahaan data center",20,"2%"
"data center jakarta",16,"-20%"
"dci data center",14,"-20%"
"microsoft data center",14,"90%"
"dci",14,"-20%"
"dci indonesia",14,"-20%"
"microsoft data center indonesia",14,"90%"
"perusahaan data center di indonesia",14,"10%"
"saham data center",12,"150%"
"data center tier",10,"-30%"
"aws indonesia",8,"-20%"
"aws",8,"-20%"
"apa itu data center",8,"20%"
"bdx data center indonesia",6,"Breakout"
"bdx data center",6,"Breakout"
"bdx",6,"Breakout"
"bdx indonesia",6,"Breakout"
"telkom indonesia",6,"-5%"
"telkom data center",6,"-7%"
"ntt data",6,"-30%"
"toto sugiri",6,"250%"
"ntt data center",6,"-30%"
"ntt",5,"-40%"
"ntt data indonesia",5,"-40%"
"data center tier 4",5,"-7%"
"edge",5,"150%"
"satu data indonesia",5,"-9%"
"edge data center",5,"250%"
"bisnis data center",5,"50%"
"dcii",5,"160%"
"pt dci",4,"30%"
"pt dci indonesia",4,"10%"
"ai news today",4,"Breakout"
"linkedin",4,"110%"
"cibitung",3,"-40%"
"equinix",3,"-30%"
"hyperscale data center",3,"Breakout"
"equinix indonesia",3,"-30%"
"equinix data center",3,"-30%"
"idc",2,"-80%"
"fintech data center",2,"-30%"
"pew research center",1,"7%"
"princeton digital group",1,"Breakout"
"green box data center",1,"Breakout"
"international trade center",1,"-7%"
