"query","search interest","increase percent"
"scholar",17,"Breakout"
"crowdfunding",9,"Breakout"
"xendit",6,"Breakout"
"sinta",5,"Breakout"
"senpay",4,"Breakout"
"scopus",4,"Breakout"
"what is a contactless payment",3,"Breakout"
"doku",3,"Breakout"
"gumroad",1,"Breakout"
"researchgate",1,"Breakout"
"qris",35,"500%"
"what is digital payment",60,"200%"
"digital payment platform",24,"150%"
"e-commerce",19,"90%"
"digital payment system",60,"90%"
"digital payment solutions",9,"80%"
"stripe",5,"60%"
"bank digital",76,"50%"
"digital banking",31,"40%"
"bank indonesia",32,"40%"
"fintech",39,"30%"
"cryptocurrency",7,"10%"
"digital marketing",28,"10%"
"payment id",13,"5%"
"midtrans",5,"0%"
"payment gateway",44,"-2%"
"pembayaran digital",67,"-7%"
"payment adalah",100,"-7%"
"dompet digital",18,"-8%"
"digital payment adalah",100,"-9%"
"ojk",8,"-10%"
"e wallet",9,"-20%"
"payment gateway indonesia",13,"-30%"
"gopay",11,"-30%"
"digital ocean",7,"-40%"
"paypal",12,"-40%"
"e commerce",6,"-60%"
"ovo",13,"-70%"
