"query","search interest","increase percent"
"payment adalah",100,"-7%"
"digital payment adalah",100,"-9%"
"bank digital",76,"50%"
"pembayaran digital",67,"-7%"
"what is digital payment",60,"200%"
"digital payment system",60,"90%"
"payment gateway",44,"-2%"
"fintech",39,"30%"
"qris",35,"500%"
"bank indonesia",32,"40%"
"digital banking",31,"40%"
"digital marketing",28,"10%"
"digital payment platform",24,"150%"
"e-commerce",19,"90%"
"dompet digital",18,"-8%"
"scholar",17,"Breakout"
"payment gateway indonesia",13,"-30%"
"payment id",13,"5%"
"ovo",13,"-70%"
"paypal",12,"-40%"
"gopay",11,"-30%"
"digital payment solutions",9,"80%"
"crowdfunding",9,"Breakout"
"e wallet",9,"-20%"
"ojk",8,"-10%"
"digital ocean",7,"-40%"
"cryptocurrency",7,"10%"
"e commerce",6,"-60%"
"xendit",6,"Breakout"
"midtrans",5,"0%"
"stripe",5,"60%"
"sinta",5,"Breakout"
"senpay",4,"Breakout"
"scopus",4,"Breakout"
"what is a contactless payment",3,"Breakout"
"doku",3,"Breakout"
"gumroad",1,"Breakout"
"researchgate",1,"Breakout"
