"query","search interest","increase percent"
"to",100,"190%"
"the",62,"250%"
"your",39,"150%"
"google security",26,"60%"
"terjemahkan",23,"1,450%"
"email security service",21,"200%"
"security adalah",17,"20%"
"cyber security",14,"350%"
"email security check",13,"70%"
"email login",13,"20%"
"gmail security",11,"-30%"
"gmail",11,"-40%"
"email security services",10,"190%"
"email cloud security",10,"80%"
"instagram security email",9,"10%"
"would",9,"160%"
"security instagram email",9,"7%"
"google account",8,"170%"
"facebook security email",7,"-1%"
"security facebook",7,"-4%"
"security facebook email",7,"-5%"
"this website is using a security service to protect itself from online attacks. the action you just performed triggered the security solution. there are several actions that could trigger this block including submitting a certain word or phrase, a sql command or malformed data.",7,"Breakout"
"cisco",6,"30%"
"you can email the site owner to let them know you were blocked. please include what you were doing when this page came up and the cloudflare ray id found at the bottom of this page.",6,"Breakout"
"cisco email security",6,"20%"
"why have i been blocked? this website is using a security service to protect itself from online attacks. the action you just performed triggered the security solution. there are several actions that could trigger this block including submitting a certain word or phrase, a sql command or malformed data.",6,"Breakout"
"what can i do to resolve this? you can email the site owner to let them know you were blocked. please include what you were doing when this page came up and the cloudflare ray id found at the bottom of this page.",6,"Breakout"
"email security gateway",5,"-30%"
"outlook email",5,"10%"
"outlook",5,"9%"
"ovo",4,"70%"
"yahoo",4,"-70%"
"phising",3,"190%"
"ransomware",2,"400%"
"gartner email security",2,"10%"
"managed email security",2,"200%"
"trend micro email security",2,"50%"
"email security gartner",2,"-10%"
"proofpoint email security",2,"250%"
"yahoo mail",2,"-70%"
"email security banner",1,"Breakout"
"barracuda email security gateway",1,"-40%"
"steam",1,"Breakout"
"mimecast email security",1,"130%"
"how to change email password",1,"50%"
"mimecast",1,"100%"
"cloud based email security",1,"-30%"
"ironport email security",1,"-60%"
"how to scan to email",1,"Breakout"
"best free email clients",1,"Breakout"
