"query","search interest","increase percent"
"the",100,"250%"
"energy management indonesia",84,"-2%"
"what",70,"450%"
"energy management system",65,"8%"
"renewable energy",38,"170%"
"renewable energy management",38,"170%"
"energy management business",32,"200%"
"energy management company",28,"250%"
"energy management systems",28,"130%"
"waste management",28,"200%"
"project management",25,"200%"
"sustainable energy management",24,"160%"
"smart energy management",23,"110%"
"time and energy management",21,"550%"
"pt energy management indonesia",21,"-50%"
"energy policy",21,"350%"
"engineering",20,"90%"
"building energy management",20,"20%"
"energy management software",20,"10%"
"there",18,"130%"
"energy management services",17,"170%"
"waste to energy",17,"400%"
"energy management companies",17,"200%"
"master energy management",15,"-3%"
"energy news today",15,"1,050%"
"lenovo energy management",14,"-80%"
"energy management lenovo",13,"-80%"
"management trainee",10,"-3%"
"supply chain management",10,"130%"
"personal energy management",10,"400%"
"energy management solutions",10,"170%"
"master of energy management",10,"70%"
"energy resource management",9,"120%"
"linkedin",9,"250%"
"energy conversion and management",9,"110%"
"master in energy management",7,"3%"
"energy management system pdf",6,"70%"
"home energy management system",6,"40%"
"building energy management system",6,"9%"
"adaro energy",5,"40%"
"smart home energy management",5,"90%"
"scopus",4,"150%"
"ieee",4,"Breakout"
"ai news today",4,"Breakout"
"energy management courses",4,"250%"
"mba energy management",4,"-40%"
"ems",4,"-20%"
"bumn",3,"-60%"
"smart building energy management",3,"-20%"
"ems energy management system",3,"-30%"
