"query","search interest","increase percent"
"what is enterprise application",100,"250%"
"enterprise adalah",95,"-10%"
"enterprise architecture",94,"20%"
"enterprise application architecture",92,"20%"
"enterprise application integration",87,"-30%"
"enterprise application development",80,"-20%"
"enterprise application services",56,"100%"
"enterprise application testing",22,"140%"
"enterprise resource planning",16,"-30%"
"enterprise mobile application development",14,"-50%"
"enterprise seo application",13,"10%"
"eai",12,"-40%"
"patterns of enterprise application architecture",10,"-20%"
"enterprise application development services",9,"-30%"
