"query","search interest","increase percent"
"contoh perusahaan asuransi",6,"Breakout"
"manfaat fintech",14,"400%"
"jenis fintech",25,"300%"
"perusahaan asuransi",19,"300%"
"jenis jenis fintech",25,"300%"
"leasing",7,"250%"
"dana",36,"190%"
"pengertian fintech",12,"160%"
"contoh fintech",52,"140%"
"perusahaan fintech lending berizin",17,"130%"
"perusahaan fintech lending berizin dan terdaftar di ojk",7,"110%"
"aplikasi fintech",18,"110%"
"ojk adalah",15,"100%"
"perusahaan pembiayaan",20,"80%"
"fintech lending",36,"70%"
"perusahaan fintech adalah",92,"70%"
"fintech adalah",91,"60%"
"perusahaan fintech lending berizin dan terdaftar ojk",10,"60%"
"fintech di indonesia",79,"40%"
"perusahaan fintech di indonesia",79,"40%"
"apa itu fintech",21,"40%"
"fintech indonesia",100,"20%"
"startup fintech",11,"-3%"
"perusahaan startup",11,"-10%"
"ojk",58,"-20%"
"fintech ojk",58,"-20%"
"ojk fintech",58,"-20%"
