"query","search interest","increase percent"
"fintech indonesia",100,"20%"
"perusahaan fintech adalah",92,"70%"
"fintech adalah",91,"60%"
"fintech di indonesia",79,"40%"
"perusahaan fintech di indonesia",79,"40%"
"ojk fintech",58,"-20%"
"ojk",58,"-20%"
"fintech ojk",58,"-20%"
"contoh fintech",52,"140%"
"fintech lending",36,"70%"
"dana",36,"190%"
"jenis fintech",25,"300%"
"jenis jenis fintech",25,"300%"
"apa itu fintech",21,"40%"
"perusahaan pembiayaan",20,"80%"
"perusahaan asuransi",19,"300%"
"aplikasi fintech",18,"110%"
"perusahaan fintech lending berizin",17,"130%"
"ojk adalah",15,"100%"
"manfaat fintech",14,"400%"
"pengertian fintech",12,"160%"
"startup fintech",11,"-3%"
"perusahaan startup",11,"-10%"
"perusahaan fintech lending berizin dan terdaftar ojk",10,"60%"
"perusahaan fintech lending berizin dan terdaftar di ojk",7,"110%"
"leasing",7,"250%"
"contoh perusahaan asuransi",6,"Breakout"
