"query","search interest","increase percent"
"linkedin",8,"Breakout"
"fmgc",1,"Breakout"
"wings",9,"170%"
"fmcg meaning",8,"140%"
"fmcg itu apa",22,"100%"
"danone",7,"60%"
"unilever",20,"40%"
"multinational company",14,"30%"
"fmcg adalah",100,"30%"
"fmcg company adalah",100,"30%"
"what is fmcg company",15,"20%"
"what is fmcg",13,"20%"
"perusahaan fmcg",32,"6%"
"nestle",15,"0%"
"fmcg products",7,"-4%"
"mayora",6,"-9%"
"fmcg indonesia",99,"-20%"
"fmcg industry",11,"-20%"
"p&g",4,"-40%"
"fmcg companies",12,"-50%"
