"query","search interest","increase percent"
"fmcg company adalah",100,"30%"
"fmcg adalah",100,"30%"
"fmcg indonesia",99,"-20%"
"perusahaan fmcg",32,"6%"
"fmcg itu apa",22,"100%"
"unilever",20,"40%"
"nestle",15,"0%"
"what is fmcg company",15,"20%"
"multinational company",14,"30%"
"what is fmcg",13,"20%"
"fmcg companies",12,"-50%"
"fmcg industry",11,"-20%"
"wings",9,"170%"
"fmcg meaning",8,"140%"
"linkedin",8,"Breakout"
"fmcg products",7,"-4%"
"danone",7,"60%"
"mayora",6,"-9%"
"p&g",4,"-40%"
"fmgc",1,"Breakout"
