"query","search interest","increase percent"
"logistics and freight forwarding companies",1,"Breakout"
"cma cgm",1,"Breakout"
"freight forwarding nz",1,"Breakout"
"freight forwarding software saudi arabia",0,"Breakout"
"digital freight forwarding",2,"170%"
"linkedin",2,"140%"
"freight forwarding network",1,"130%"
"what is freight forwarding",6,"70%"
"freight forwarding australia",3,"70%"
"logistik adalah",8,"70%"
"freight forwarding software",5,"60%"
"freight forwarding meaning",3,"60%"
"jasa freight forwarding adalah",20,"50%"
"global freight forwarding",8,"50%"
"freight forwarding adalah",100,"40%"
"forwarding adalah",100,"40%"
"freight adalah",100,"40%"
"geodis freight forwarding",3,"30%"
"supply chain freight forwarding",3,"30%"
"bill of lading",3,"30%"
"freight forwarding indonesia",44,"30%"
"apa itu freight forwarding",18,"30%"
"freight forwarding services",7,"20%"
"international freight forwarding",13,"20%"
"freight forwarding company",13,"10%"
"freight forwarding service",9,"3%"
"jasa freight forwarding",63,"1%"
"forwarder indonesia",6,"0%"
"freight forwarder indonesia",6,"-3%"
"fedex",1,"-6%"
"perusahaan freight forwarding",40,"-10%"
"dhl freight forwarding",3,"-20%"
"best freight forwarding software",1,"-20%"
"dhl",4,"-20%"
"freight forwarder",24,"-20%"
"air freight forwarding",6,"-20%"
"dhl global forwarding",1,"-30%"
"custom clearance",1,"-40%"
"freight forwarding companies",10,"-40%"
"freight forwarding companies in dubai",1,"-50%"
