"query","search interest","increase percent"
"forwarding adalah",100,"40%"
"freight forwarding adalah",100,"40%"
"freight adalah",100,"40%"
"jasa freight forwarding",63,"1%"
"freight forwarding indonesia",44,"30%"
"perusahaan freight forwarding",40,"-10%"
"freight forwarder",24,"-20%"
"jasa freight forwarding adalah",20,"50%"
"apa itu freight forwarding",18,"30%"
"freight forwarding company",13,"10%"
"international freight forwarding",13,"20%"
"freight forwarding companies",10,"-40%"
"freight forwarding service",9,"3%"
"global freight forwarding",8,"50%"
"logistik adalah",8,"70%"
"freight forwarding services",7,"20%"
"forwarder indonesia",6,"0%"
"freight forwarder indonesia",6,"-3%"
"what is freight forwarding",6,"70%"
"air freight forwarding",6,"-20%"
"freight forwarding software",5,"60%"
"dhl",4,"-20%"
"dhl freight forwarding",3,"-20%"
"supply chain freight forwarding",3,"30%"
"freight forwarding australia",3,"70%"
"geodis freight forwarding",3,"30%"
"freight forwarding meaning",3,"60%"
"bill of lading",3,"30%"
"digital freight forwarding",2,"170%"
"linkedin",2,"140%"
"custom clearance",1,"-40%"
"freight forwarding network",1,"130%"
"dhl global forwarding",1,"-30%"
"logistics and freight forwarding companies",1,"Breakout"
"best freight forwarding software",1,"-20%"
"fedex",1,"-6%"
"freight forwarding companies in dubai",1,"-50%"
"cma cgm",1,"Breakout"
"freight forwarding nz",1,"Breakout"
"freight forwarding software saudi arabia",0,"Breakout"
