"query","search interest","increase percent"
"hospital management game",11,"Breakout"
"pubmed",4,"Breakout"
"scopus",3,"Breakout"
"hms",2,"Breakout"
"data quality management",2,"Breakout"
"master data management",2,"Breakout"
"scimago",1,"Breakout"
"project management tools",1,"Breakout"
"knowledge management systems",1,"Breakout"
"sciencedirect",1,"Breakout"
"hma",1,"Breakout"
"hospital risk management",26,"120%"
"the",100,"120%"
"eka hospital",6,"100%"
"management trainee",7,"60%"
"theme hospital",2,"30%"
"hospital management asia",8,"30%"
"hospital management course",8,"10%"
"hospital management pdf",44,"8%"
"hospital management system github",3,"5%"
"master of hospital management",7,"-5%"
"hospital management information system",11,"-10%"
"specialty hospital management",2,"-10%"
"hospital information management system",10,"-10%"
"siloam hospital",6,"-20%"
"hospital waste management",15,"-20%"
"mba hospital management",7,"-20%"
"hospital management software",20,"-30%"
"mba in hospital management",5,"-30%"
"hospital management system",62,"-30%"
"hospitality management",9,"-40%"
"management hospitality",9,"-40%"
"hospital playlist",2,"-50%"
"open source hospital management system",2,"-70%"
