"query","search interest","increase percent"
"the",100,"120%"
"hospital management system",62,"-30%"
"hospital management pdf",44,"8%"
"hospital risk management",26,"120%"
"hospital management software",20,"-30%"
"hospital waste management",15,"-20%"
"hospital management information system",11,"-10%"
"hospital management game",11,"Breakout"
"hospital information management system",10,"-10%"
"hospitality management",9,"-40%"
"management hospitality",9,"-40%"
"hospital management course",8,"10%"
"hospital management asia",8,"30%"
"mba hospital management",7,"-20%"
"management trainee",7,"60%"
"master of hospital management",7,"-5%"
"siloam hospital",6,"-20%"
"eka hospital",6,"100%"
"mba in hospital management",5,"-30%"
"pubmed",4,"Breakout"
"scopus",3,"Breakout"
"hospital management system github",3,"5%"
"specialty hospital management",2,"-10%"
"hms",2,"Breakout"
"data quality management",2,"Breakout"
"hospital playlist",2,"-50%"
"master data management",2,"Breakout"
"theme hospital",2,"30%"
"open source hospital management system",2,"-70%"
"scimago",1,"Breakout"
"project management tools",1,"Breakout"
"knowledge management systems",1,"Breakout"
"sciencedirect",1,"Breakout"
"hma",1,"Breakout"
