"query","search interest","increase percent"
"sinta",8,"Breakout"
"jordan journal of mechanical and industrial engineering",2,"Breakout"
"elsevier",2,"Breakout"
"journal of engineering and technology for industrial applications",2,"Breakout"
"coursera",1,"Breakout"
"iise",3,"250%"
"computers and industrial engineering",4,"200%"
"industrial & engineering chemistry research",5,"200%"
"mining engineering",7,"200%"
"accounting",7,"200%"
"binus",20,"160%"
"linkedin",18,"150%"
"industrial engineering curriculum",9,"140%"
"environmental engineering",13,"130%"
"what is industrial engineering",37,"130%"
"electrical engineering",21,"120%"
"journal of industrial engineering and management",24,"120%"
"journal of industrial engineering",77,"110%"
"computers & industrial engineering",5,"100%"
"industrial engineering and management systems",9,"100%"
"civil engineering",15,"100%"
"journal of industrial and engineering chemistry",7,"90%"
"industrial engineering and management",68,"80%"
"industrial automation engineering",10,"80%"
"mechanical engineering",37,"70%"
"sjr",2,"70%"
"industrial engineering journal",92,"70%"
"chemical engineering",28,"60%"
"bachelor of industrial engineering",19,"60%"
"scopus",8,"60%"
"industrial and systems engineering",28,"50%"
"industrial engineering major",16,"50%"
"industrial management engineering",94,"50%"
"industrial engineering management",94,"50%"
"scimago",7,"40%"
"journal of industrial engineering international",24,"40%"
"bachelor degree",11,"40%"
"mit industrial engineering",8,"40%"
"international journal of industrial engineering",23,"40%"
"industrial engineering salary",10,"40%"
"engineering adalah",100,"30%"
"sciencedirect",2,"20%"
"south african journal of industrial engineering",2,"20%"
"industrial engineering adalah",99,"20%"
"president university",4,"20%"
"industrial design engineering",36,"10%"
"international journal of industrial and systems engineering",3,"10%"
"industrial design",36,"10%"
"industrial engineer",24,"10%"
"mit",6,"10%"
