"query","search interest","increase percent"
"engineering adalah",100,"30%"
"industrial engineering adalah",99,"20%"
"industrial engineering management",94,"50%"
"industrial management engineering",94,"50%"
"industrial engineering journal",92,"70%"
"journal of industrial engineering",77,"110%"
"industrial engineering and management",68,"80%"
"teknik industri",58,"-30%"
"industrial engineering pdf",41,"6%"
"what is industrial engineering",37,"130%"
"mechanical engineering",37,"70%"
"industrial design engineering",36,"10%"
"industrial design",36,"10%"
"master industrial engineering",28,"-9%"
"chemical engineering",28,"60%"
"industrial and systems engineering",28,"50%"
"journal of industrial engineering international",24,"40%"
"industrial engineer",24,"10%"
"journal of industrial engineering and management",24,"120%"
"international journal of industrial engineering",23,"40%"
"electrical engineering",21,"120%"
"binus",20,"160%"
"bachelor of industrial engineering",19,"60%"
"linkedin",18,"150%"
"industrial engineering major",16,"50%"
"civil engineering",15,"100%"
"environmental engineering",13,"130%"
"industrial engineering jobs",13,"-30%"
"industrial engineering internship",12,"-40%"
"ie",11,"-20%"
"bachelor degree",11,"40%"
"phd industrial engineering",10,"3%"
"industrial engineering salary",10,"40%"
"industrial automation engineering",10,"80%"
"industrial engineering and management systems",9,"100%"
"industrial engineering logo",9,"-30%"
"industrial engineering curriculum",9,"140%"
"sinta",8,"Breakout"
"scopus",8,"60%"
"mit industrial engineering",8,"40%"
"industrial engineering definition",7,"-6%"
"accounting",7,"200%"
"journal of industrial and engineering chemistry",7,"90%"
"mining engineering",7,"200%"
"scimago",7,"40%"
"industrial engineering courses",7,"9%"
"industrial engineering internships",6,"-70%"
"mit",6,"10%"
"computers & industrial engineering",5,"100%"
"industrial & engineering chemistry research",5,"200%"
