"query","search interest","increase percent"
"kopra mandiri internet bisnis",2,"Breakout"
"internet banking bank jateng",4,"650%"
"berikut yang bukan keuntungan internet banking bagi bank adalah",1,"300%"
"bca bisnis login",7,"200%"
"login internet banking bca",7,"200%"
"bni internet banking login",4,"200%"
"login internet banking bni",4,"180%"
"panin",12,"160%"
"panin internet banking bisnis",12,"150%"
"panin internet banking",12,"150%"
"mega internet bisnis",4,"110%"
"bca internet bisnis",66,"110%"
"internet banking bca bisnis",68,"100%"
"bca",71,"100%"
"internet banking permata",5,"100%"
"bca internet bisnis banking",67,"100%"
"bca bisnis vpn",4,"100%"
"permata internet banking",5,"90%"
"bca internet banking bisnis",67,"90%"
"bca bisnis banking",67,"90%"
"internet banking bca",64,"90%"
"vpn bca bisnis",4,"90%"
"bca bisnis internet banking",65,"90%"
"bca bisnis",65,"90%"
"bca internet banking",69,"90%"
"bni direct",5,"80%"
"bca individual",5,"70%"
"klikbca bisnis",16,"60%"
"klikbca internet banking",16,"60%"
"klikbca",16,"60%"
"internet banking bni",20,"60%"
"bni",20,"60%"
"bni internet banking bisnis",20,"60%"
"bni internet banking",20,"60%"
"danamon internet banking",2,"60%"
"klik bca",6,"60%"
"klik bisnis bca",6,"60%"
"klik bca bisnis",6,"50%"
"bca klik bisnis",6,"50%"
"bca klik",6,"50%"
"bri",19,"20%"
"bri internet",19,"20%"
"bri internet bisnis",19,"20%"
"internet banking bri",19,"20%"
"bri internet banking",19,"20%"
"mandiri internet banking login",9,"-9%"
"mandiri internet bisnis login",9,"-10%"
"mandiri online",4,"-30%"
"mandiri internet banking",98,"-40%"
"mandiri bisnis",100,"-40%"
