"query","search interest","increase percent"
"mandiri bisnis",100,"-40%"
"internet banking mandiri",99,"-40%"
"mandiri internet bisnis",99,"-40%"
"mandiri internet banking",98,"-40%"
"internet banking mandiri bisnis",98,"-40%"
"internet mandiri bisnis",98,"-40%"
"mandiri internet banking bisnis",98,"-40%"
"mandiri",98,"-40%"
"mandiri bisnis internet banking",97,"-40%"
"mandiri internet bisnis banking",97,"-40%"
"internet banking bisnis mandiri",96,"-40%"
"internet bisnis mandiri",95,"-50%"
"internet mandiri banking",90,"-50%"
"bca",71,"100%"
"bca internet banking",69,"90%"
"internet banking bca bisnis",68,"100%"
"bca internet banking bisnis",67,"90%"
"bca bisnis banking",67,"90%"
"bca internet bisnis banking",67,"100%"
"bca internet bisnis",66,"110%"
"bca bisnis",65,"90%"
"bca bisnis internet banking",65,"90%"
"internet banking bca",64,"90%"
"bni internet banking bisnis",20,"60%"
"bni",20,"60%"
"internet banking bni",20,"60%"
"bni internet banking",20,"60%"
"bri internet",19,"20%"
"internet banking bri",19,"20%"
"bri",19,"20%"
"bri internet bisnis",19,"20%"
"bri internet banking",19,"20%"
"klikbca internet banking",16,"60%"
"klikbca",16,"60%"
"klikbca bisnis",16,"60%"
"panin",12,"160%"
"panin internet banking bisnis",12,"150%"
"panin internet banking",12,"150%"
"mandiri internet banking login",9,"-9%"
"mandiri internet bisnis login",9,"-10%"
"bca bisnis login",7,"200%"
"login internet banking bca",7,"200%"
"klik bca",6,"60%"
"bca klik",6,"50%"
"klik bca bisnis",6,"50%"
"klik bisnis bca",6,"60%"
"bca klik bisnis",6,"50%"
"bank mandiri internet bisnis",6,"-40%"
"bank mandiri internet banking",6,"-40%"
"bank mandiri internet banking bisnis",6,"-40%"
