"query","search interest","increase percent"
"jenis koneksi shared",6,"Breakout"
"jenis koneksi internet shared",6,"Breakout"
"indibiz",5,"Breakout"
"jenis koneksi internet indihome",2,"Breakout"
"private internet access",2,"Breakout"
"internet broadband adalah",13,"400%"
"broadband internet adalah",14,"350%"
"broadband adalah",13,"300%"
"dedicated artinya",14,"250%"
"broadband dan dedicated",24,"200%"
"test speed internet",6,"110%"
"test speed",5,"100%"
"broadband",47,"90%"
"broadband internet",48,"90%"
"internet broadband",47,"90%"
"shared internet adalah",11,"80%"
"shared internet",23,"80%"
"jenis koneksi internet",12,"60%"
"dedicated hosting adalah",20,"40%"
"personal computer",4,"30%"
"oxygen",5,"20%"
"speed test",5,"20%"
"jenis layanan internet",16,"20%"
"provider adalah",8,"7%"
"oxygen internet",5,"4%"
"harga internet dedicated",91,"-3%"
"apa itu dedicated",23,"-6%"
"dedicated adalah",99,"-10%"
"internet dedicated adalah",100,"-10%"
"dedicated internet adalah",99,"-10%"
"dedicated server adalah",27,"-10%"
"dedicated computer",11,"-20%"
"dedicated server",46,"-20%"
"bandwidth",20,"-20%"
"provider internet",29,"-20%"
"dedicated internet access",16,"-20%"
"biznet dedicated",40,"-20%"
"biznet",40,"-20%"
"wireless",9,"-30%"
"indihome",28,"-30%"
"astinet",15,"-30%"
"indihome dedicated",28,"-40%"
"internet service provider",4,"-40%"
"isp",27,"-40%"
"first media",5,"-50%"
"dedicated connection",10,"-70%"
