"query","search interest","increase percent"
"internet dedicated adalah",100,"-10%"
"dedicated adalah",99,"-10%"
"dedicated internet adalah",99,"-10%"
"harga internet dedicated",91,"-3%"
"broadband internet",48,"90%"
"broadband",47,"90%"
"internet broadband",47,"90%"
"dedicated server",46,"-20%"
"biznet",40,"-20%"
"biznet dedicated",40,"-20%"
"provider internet",29,"-20%"
"indihome dedicated",28,"-40%"
"indihome",28,"-30%"
"isp",27,"-40%"
"dedicated server adalah",27,"-10%"
"broadband dan dedicated",24,"200%"
"shared internet",23,"80%"
"apa itu dedicated",23,"-6%"
"bandwidth",20,"-20%"
"dedicated hosting adalah",20,"40%"
"dedicated internet access",16,"-20%"
"jenis layanan internet",16,"20%"
"astinet",15,"-30%"
"dedicated artinya",14,"250%"
"broadband internet adalah",14,"350%"
"broadband adalah",13,"300%"
"internet broadband adalah",13,"400%"
"jenis koneksi internet",12,"60%"
"dedicated computer",11,"-20%"
"shared internet adalah",11,"80%"
"dedicated connection",10,"-70%"
"wireless",9,"-30%"
"provider adalah",8,"7%"
"jenis koneksi shared",6,"Breakout"
"jenis koneksi internet shared",6,"Breakout"
"test speed internet",6,"110%"
"test speed",5,"100%"
"oxygen",5,"20%"
"first media",5,"-50%"
"speed test",5,"20%"
"indibiz",5,"Breakout"
"oxygen internet",5,"4%"
"internet service provider",4,"-40%"
"personal computer",4,"30%"
"jenis koneksi internet indihome",2,"Breakout"
"private internet access",2,"Breakout"
