"query","search interest","increase percent"
"investment banking indonesia",100,"10%"
"banking and investment",98,"90%"
"investment bank",64,"3%"
"investment banking adalah",59,"50%"
"what is investment banking",46,"90%"
"investment analyst",36,"10%"
"investment banking analyst",36,"20%"
"investment banking salary",33,"10%"
"capital market investment banking",31,"700%"
"investment banking news",22,"300%"
"investment banking job",21,"3%"
"investment banking jobs",21,"-10%"
"capital market adalah",18,"Breakout"
"capital market investment banking adalah",18,"Breakout"
"linkedin",17,"20%"
"investment banking companies",16,"80%"
"jp morgan investment banking",14,"6%"
"jp morgan",14,"0%"
"investment banking meaning",13,"60%"
"investment banking internship",13,"-4%"
"investment banking associate",12,"70%"
"goldman sachs",12,"-20%"
"investment banker",12,"-3%"
"investment banking advisory",11,"6%"
"private equity",10,"2%"
"investment banking analyst salary",9,"40%"
"morgan stanley",9,"30%"
"mandiri sekuritas",9,"20%"
"investment banking book",9,"50%"
"investment banking course",8,"70%"
"risk management",7,"400%"
"investment banking courses",7,"-30%"
"credit suisse investment banking",6,"-3%"
"investment banking certification",6,"Breakout"
"ubs",6,"-9%"
"investment banking intern",6,"110%"
"hsbc investment banking",6,"-30%"
"capital market investment banking mandiri",6,"Breakout"
"hsbc",5,"-40%"
"cfa",5,"-30%"
"investment banking cv",5,"70%"
"analyst research",4,"Breakout"
"equity research",4,"-10%"
"real estate investment banking",4,"-1%"
"investment banking interview questions",4,"-8%"
"capital market investment banking bank mandiri",3,"Breakout"
"goldman sachs indonesia",3,"-20%"
"investment banking job description",3,"-40%"
"investment banking career path",3,"Breakout"
"venture capital",3,"8%"
