"query","search interest","increase percent"
"training adalah",100,"50%"
"leadership adalah",99,"60%"
"training leadership management",96,"40%"
"leadership management training",95,"40%"
"management leadership training",95,"30%"
"leadership training indonesia",83,"40%"
"training on leadership",78,"250%"
"leadership development",72,"10%"
"leadership development training",71,"10%"
"training leadership development",70,"10%"
"what",68,"350%"
"leadership training program",65,"30%"
"leadership skills training",64,"70%"
"training leadership skills",64,"70%"
"leadership skills",63,"80%"
"pelatihan leadership",56,"-2%"
"materi training leadership",56,"-30%"
"management and leadership training",49,"60%"
"leadership and management training",48,"60%"
"best leadership training",46,"180%"
"leadership training programs",42,"10%"
"online leadership training",39,"40%"
"leadership training online",38,"40%"
"team leadership training",38,"120%"
"leadership basic training",37,"20%"
"basic leadership training",37,"20%"
"executive leadership training",34,"10%"
"training kepemimpinan",33,"-40%"
"training for leadership skills",32,"300%"
"leadership skill training",32,"10%"
"communication leadership training",32,"120%"
"leadership training and development",31,"110%"
"leadership training ppt",31,"-10%"
"leadership communication training",30,"110%"
"leadership training free",29,"110%"
"manager leadership training",26,"60%"
"leadership training course",25,"50%"
"leadership course",25,"20%"
"training digital leadership",24,"450%"
"leadership training courses",22,"-20%"
"training for leadership development",22,"200%"
"training safety leadership",22,"110%"
"safety leadership training",22,"110%"
"leadership training for managers",21,"10%"
"leadership artinya",19,"60%"
"effective leadership training",19,"180%"
"training on leadership and management",19,"200%"
"training on management and leadership",19,"300%"
"corporate leadership training",18,"80%"
"top leadership training",17,"250%"
