"query","search interest","increase percent"
"some settings are managed by your organization",4,"Breakout"
"managed it security services providers",4,"Breakout"
"managed email security",15,"500%"
"cloud security managed services",11,"350%"
"managed cloud security",27,"120%"
"managed it security",53,"70%"
"managed network security",27,"40%"
"this setting is managed by your administrator",5,"9%"
"managed security service",54,"7%"
"if your network security is managed by wifi address",3,"5%"
"managed network security services",8,"3%"
"managed security services",100,"-10%"
"managed security service providers",6,"-10%"
"managed it security services",17,"-20%"
"managed security service provider",17,"-20%"
"managed cyber security",23,"-20%"
"managed security solutions",9,"-30%"
"cyber security managed services",13,"-30%"
"managed cyber security services",13,"-30%"
