"query","search interest","increase percent"
"managed security services",100,"-10%"
"managed security service",54,"7%"
"managed it security",53,"70%"
"managed network security",27,"40%"
"managed cloud security",27,"120%"
"managed cyber security",23,"-20%"
"managed security service provider",17,"-20%"
"managed it security services",17,"-20%"
"managed email security",15,"500%"
"managed cyber security services",13,"-30%"
"cyber security managed services",13,"-30%"
"cloud security managed services",11,"350%"
"managed security solutions",9,"-30%"
"managed network security services",8,"3%"
"managed security service providers",6,"-10%"
"this setting is managed by your administrator",5,"9%"
"some settings are managed by your organization",4,"Breakout"
"managed it security services providers",4,"Breakout"
"if your network security is managed by wifi address",3,"5%"
