"query","search interest","increase percent"
"mrp",15,"Breakout"
"mes system",11,"Breakout"
"manufacturing optimization software",10,"Breakout"
"qms",7,"Breakout"
"software testing strategies",4,"Breakout"
"mes",17,"450%"
"mrp software",15,"400%"
"quality management software",15,"300%"
"manufacturing maintenance software",22,"180%"
"manufacturing software free",54,"140%"
"software mrp",15,"130%"
"software manufaktur",17,"90%"
"manufacturing adalah",46,"90%"
"cloud based manufacturing software",12,"80%"
"manufacturing execution system software",24,"70%"
"food manufacturing software",44,"60%"
"manufacturing execution system",22,"60%"
"cloud manufacturing software",34,"60%"
"manufacturing software solutions",21,"40%"
"manufacturing management software",100,"40%"
"manufacturing execution software",26,"30%"
"process manufacturing erp software",5,"20%"
"chemical manufacturing software",13,"3%"
"manufacturing erp software",77,"-20%"
"manufacturing software for small business",11,"-20%"
"erp manufacturing software",77,"-20%"
"batch manufacturing software",6,"-20%"
"apparel manufacturing software",7,"-30%"
"garment manufacturing software",5,"-50%"
"manufacturing inventory software",16,"-60%"
