"query","search interest","increase percent"
"cloud computing services",4,"Breakout"
"saudi canadian mining services",2,"Breakout"
"mining services companies",15,"350%"
"linkedin",10,"130%"
"pt borneo mining services",14,"100%"
"data mining services",37,"70%"
"hanwha mining services",99,"40%"
"hanwha mining services indonesia",88,"40%"
"hanwha",100,"40%"
"pt macmahon mining services",41,"40%"
"pt macmahon",41,"30%"
"macmahon",75,"8%"
"macmahon mining services",77,"8%"
"petrosea",4,"-6%"
"orica",83,"-40%"
"orica mining services",81,"-40%"
"sun mining services",3,"-70%"
"ael mining services",7,"-80%"
