"query","search interest","increase percent"
"hanwha",100,"40%"
"hanwha mining services",99,"40%"
"hanwha mining services indonesia",88,"40%"
"orica",83,"-40%"
"orica mining services",81,"-40%"
"macmahon mining services",77,"8%"
"macmahon",75,"8%"
"pt macmahon mining services",41,"40%"
"pt macmahon",41,"30%"
"data mining services",37,"70%"
"mining services companies",15,"350%"
"pt borneo mining services",14,"100%"
"linkedin",10,"130%"
"ael mining services",7,"-80%"
"petrosea",4,"-6%"
"cloud computing services",4,"Breakout"
"sun mining services",3,"-70%"
"saudi canadian mining services",2,"Breakout"
