"query","search interest","increase percent"
"technology news today",15,"Breakout"
"sinta",8,"Breakout"
"new mexico institute of mining and technology",4,"Breakout"
"what technology underpins the bitcoin protocol that records all transactions?",4,"Breakout"
"financial technology trends",4,"Breakout"
"which currency began use in 2009 and uses mining for security?",3,"Breakout"
"blockchain technology",20,"190%"
"china university of mining and technology",52,"160%"
"data mining",100,"1%"
"international journal of mining science and technology",16,"-1%"
"freiberg university of mining and technology",6,"-20%"
"what is the term for the database that stores cryptocurrency transactions?",0,"-100%"
