"query","search interest","increase percent"
"data mining",100,"1%"
"china university of mining and technology",52,"160%"
"blockchain technology",20,"190%"
"international journal of mining science and technology",16,"-1%"
"technology news today",15,"Breakout"
"sinta",8,"Breakout"
"freiberg university of mining and technology",6,"-20%"
"new mexico institute of mining and technology",4,"Breakout"
"what technology underpins the bitcoin protocol that records all transactions?",4,"Breakout"
"financial technology trends",4,"Breakout"
"which currency began use in 2009 and uses mining for security?",3,"Breakout"
"what is the term for the database that stores cryptocurrency transactions?",0,"-100%"
