"query","search interest","increase percent"
"pada contoh di indonesia memiliki uang inti sebesar 20 triliun, di perbankan tercatat giro senilai 5 triliun, tabungan dan deposito sebesar 15 triliun, dan dari perusahaan kartu kredit tercatat senilai 2 triliun. dari contoh tersebut hitunglah jumlah uang yang beredar?",0,"Breakout"
"inovasi keuangan mengalami perkembangan yang cukup dinamis dari waktu ke waktu, mulai dari periode 1990 yang didominasi oleh aspek institusi dan regulasi hingga tahun 2008 yang berbasis ict. jelaskan faktor yang memicu adanya inovasi keuangan tersebut?",0,"Breakout"
"bagaimana dampak transaksi laba antar perusahaan terkait obligasi terhadap laporan keuangan perusahaan ?",0,"Breakout"
"reksa dana adalah",2,"200%"
"likuiditas adalah",2,"160%"
"risiko obligasi",12,"150%"
"jenis obligasi yang tidak memiliki jatuh tempo adalah",1,"130%"
"liabilitas adalah",2,"130%"
"sukuk adalah",2,"130%"
"instrumen pasar modal",4,"120%"
"deposito adalah",4,"110%"
"ekuitas adalah",4,"110%"
"contoh obligasi pemerintah",3,"100%"
"utang obligasi termasuk utang jangka",5,"100%"
"dividen",9,"90%"
"reksadana adalah",4,"90%"
"pasar uang adalah",8,"90%"
"utang jangka panjang",11,"90%"
"ipo",2,"80%"
"amortisasi adalah",2,"80%"
"pada",57,"80%"
"dividen adalah",6,"80%"
"nilai",32,"80%"
"utang",28,"80%"
"asuransi adalah",5,"80%"
"saham biasa adalah",5,"80%"
"leasing adalah",2,"80%"
"utang obligasi",27,"80%"
"capital gain adalah",2,"80%"
"investasi adalah",14,"70%"
"berikut",21,"70%"
"investor adalah",9,"70%"
"bunga obligasi adalah",19,"70%"
"saham adalah",35,"70%"
"untuk",58,"70%"
"suatu",30,"70%"
"saham preferen adalah",3,"60%"
"bonds payable adalah",0,"60%"
"ojk",5,"60%"
"obligasi adalah",80,"60%"
"fungsi pasar modal",5,"60%"
"wesel bayar adalah",1,"60%"
"investasi",22,"60%"
"dengan",73,"60%"
"capital gain",2,"60%"
"sekuritas adalah",4,"50%"
"utang wesel adalah",4,"50%"
"perusahaan sekuritas adalah",4,"50%"
"penerbitan obligasi",9,"50%"
"utang obligasi adalah",16,"50%"
