"query","search interest","increase percent"
"yang",100,"40%"
"obligasi adalah",80,"60%"
"dengan",73,"60%"
"dalam",65,"40%"
"untuk",58,"70%"
"pada",57,"80%"
"saham",57,"20%"
"saham dan obligasi",40,"40%"
"saham adalah",35,"70%"
"nilai",32,"80%"
"suatu",30,"70%"
"utang",28,"80%"
"utang obligasi",27,"80%"
"investasi",22,"60%"
"berikut",21,"70%"
"bunga obligasi adalah",19,"70%"
"jenis jenis obligasi",18,"40%"
"jenis obligasi",18,"40%"
"contoh obligasi",17,"7%"
"pasar modal",17,"20%"
"utang obligasi adalah",16,"50%"
"pt",16,"40%"
"keuntungan obligasi",16,"20%"
"obligasi pemerintah",14,"40%"
"investasi adalah",14,"70%"
"pasar modal adalah",13,"40%"
"perusahaan efek",12,"7%"
"risiko obligasi",12,"150%"
"pengertian obligasi",11,"-8%"
"utang jangka panjang",11,"90%"
"surat berharga",10,"50%"
"investor adalah",9,"70%"
"dividen",9,"90%"
"penerbitan obligasi",9,"50%"
"pasar uang adalah",8,"90%"
"apa itu obligasi",8,"40%"
"perbedaan saham dan obligasi",8,"4%"
"perbedaan obligasi dan saham",8,"3%"
"apa yang dimaksud obligasi",7,"30%"
"bursa efek",6,"3%"
"apa yang dimaksud dengan obligasi",6,"40%"
"dividen adalah",6,"80%"
"reksadana",6,"50%"
"asuransi adalah",5,"80%"
"pengertian saham",5,"-10%"
"karakteristik obligasi",5,"50%"
"utang obligasi termasuk utang jangka",5,"100%"
"saham biasa adalah",5,"80%"
"ojk",5,"60%"
"fungsi pasar modal",5,"60%"
